//Lorencia
//==========================================================================================================================================================================================================================================
//Numb	Rate	Name			Level	Life	Mana	Min	Max	Defense	Magic	Attack	Success	Move	Attrib	Attrib	View	Move	Attrib	Regen	Attri	Item	Money	Max	Res	Res	Res	Res	Res
//								Damage	Damage		Defense			Rg	Type	Range	Range	Speed	Speed	Time	Rate	Rate	Rate	Items	Wind	Poison	Ice	Water	Fire
//==========================================================================================================================================================================================================================================
468	1	"Little Santa Yellow"	2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
469	1	"Little Santa Green"	2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
470	1	"Little Santa Red"	2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
471	1	"Little Santa Blue"	2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
472	1	"Little Santa White"	2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
473	1	"Little Santa Black"	2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
474	1	"Little Santa Orange"	2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
475	1	"Little Santa Pink"	2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
476	1	"Evil Santa Claus"	97	42000	0	520	555	395	0	1500	235	6	0	6	10	700	1700	10	2	150	14	3	23	23	23	23	23
477	1	"Evil Snowman"		95	37000	0	475	510	370	0	900	220	3	0	2	7	500	1500	10	2	135	0	3	0	25	25	25	25

//Lucky Coin
//==========================================================================================================================================================================================================================================
//Numb	Rate	Name			Level	Life	Mana	Min	Max	Defense	Magic	Attack	Success	Move	Attrib	Attrib	View	Move	Attrib	Regen	Attri	Item	Money	Max	Res	Res	Res	Res	Res
//								Damage	Damage		Defense				Type	Range	Range	Speed	Speed	Time	Rate	Rate	Rate	Items	Wind	Poison	Ice	Water	Fire
//==========================================================================================================================================================================================================================================
478	1	"Delgado"		15	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0

//Vulcanus
//==========================================================================================================================================================================================================================================
//Numb	Rate	Name			Level	Life	Mana	Min	Max	Defense	Magic	Attack	Success	Move	Attrib	Attrib	View	Move	Attrib	Regen	Attri	Item	Money	Max	Res	Res	Res	Res	Res
//								Damage	Damage		Defense				Type	Range	Range	Speed	Speed	Time	Rate	Rate	Rate	Items	Wind	Poison	Ice	Water	Fire
//==========================================================================================================================================================================================================================================
479	1	"Doorkeeper Titus"      2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
480	1	"Zombie Fighter"	115	70000	0	1408	1543	1430	0	2000	3000	3	0	2	5	800	1700	10	2	110	0	4	0	50	50	50	50
481	1	"Zombier"		95	16000	0	1310	1340	1230	0	2000	3000	3	0	2	6	500	1500	10	2	155	0	3	0	20	20	20	20
482	1	"Gladiator"		97	18000	0	1335	1365	1250	0	2000	3000	3	0	2	5	500	1500	10	2	155	0	3	0	21	21	21	21
483	1	"Hell Gladiator"	100	22000	0	1365	1395	1280	0	2000	3000	3	0	2	6	500	1500	10	2	155	0	3	0	22	22	22	22
484	1	"Butcher"		103	32000	0	1408	1443	1315	0	2000	3000	3	0	1	7	500	1500	10	2	135	0	3	0	23	23	23	23
485	1	"Butcher Ashes"		108	38500	0	1470	1505	1370	0	2000	3000	3	0	4	6	500	1500	10	2	135	0	3	0	24	24	24	24
486	1	"Bloody Assassin"	113	43000	0	1546	1581	1430	0	2000	3000	3	0	2	5	500	1500	10	2	135	0	3	0	25	25	25	25
487	1	"Cold-Blooded"		120	48500	0	1640	1675	1515	0	2000	3000	3	0	2	6	500	1600	10	2	135	0	4	0	26	26	26	26
488	1	"Cold-Blooded Killer"	133	68000	0	1168	1213	1615	0	2000	3000	3	0	5	7	500	1600	10	2	130	0	4	0	29	29	29	29
489	1	"Burning Lava Giant"	135	87500	0	1830	1085	1865	0	2000	3000	3	0	4	7	500	1500	10	2	130	0	3	0	28	28	28	28
490	1	"Giant Lava"		137	94000	0	2000	2500	1750	0	2000	3000	3	0	2	5	500	1500	10	2	130	0	3	0	27	27	27	27
491	1	"Outrageous Giant Lava"	137	94000	0	2000	2500	1750	0	2000	3000	3	0	2	6	500	1500	10	2	130	0	3	0	27	27	27	27

//Moss Event
//==========================================================================================================================================================================================================================================
//Numb	Rate	Name			Level	Life	Mana	Min	Max	Defense	Magic	Attack	Success	Move	Attrib	Attrib	View	Move	Attrib	Regen	Attri	Item	Money	Max	Res	Res	Res	Res	Res
//								Damage	Damage		Defense				Type	Range	Range	Speed	Speed	Time	Rate	Rate	Rate	Items	Wind	Poison	Ice	Water	Fire
//==========================================================================================================================================================================================================================================
492	1	"Moss"			2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0

//Panda Event
//==========================================================================================================================================================================================================================================
//Numb	Rate	Name			Level	Life	Mana	Min	Max	Defense	Magic	Attack	Success	Move	Attrib	Attrib	View	Move	Attrib	Regen	Attri	Item	Money	Max	Res	Res	Res	Res	Res
//								Damage	Damage		Defense				Type	Range	Range	Speed	Speed	Time	Rate	Rate	Rate	Items	Wind	Poison	Ice	Water	Fire
//==========================================================================================================================================================================================================================================
503	1	"Transformed Panda"	2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0

//Imperial Guardian Fort Monsters
//==========================================================================================================================================================================================================================================
//Numb	Rate	Name			Level	Life	Mana	Min	Max	Defense	Magic	Attack	Success	Move	Attrib	Attrib	View	Move	Attrib	Regen	Attri	Item	Money	Max	Res	Res	Res	Res	Res
//								Damage	Damage		Defense				Type	Range	Range	Speed	Speed	Time	Rate	Rate	Rate	Items	Wind	Poison	Ice	Water	Fire
//==========================================================================================================================================================================================================================================
504	1	"Gaion Kharein"		118	78000	0	11680	12130	6150	0	1190	485	3	0	5	7	500	1600	10	2	130	0	4	0	29	29	29	29
505	1	"Jerint"		140	1000000	0	3000	3400	7000	0	5000	3000	6	0	2	7	700	1700	10	2	150	14	3	0	150	255	150	150
506	1	"Raymond"		146	1600000	0	3600	4000	7600	0	5600	3600	6	0	2	7	700	1700	10	2	150	14	3	0	150	255	150	150
507	1	"Erkanner"		142	1200000	0	3200	3600	7200	0	5200	3200	6	0	2	7	700	1700	10	2	150	14	3	0	150	255	150	150
508	1	"Destler"		145	1500000	0	3500	3900	7500	0	5500	3500	6	0	2	7	700	1700	10	2	150	14	3	0	150	255	150	150
509	1	"Vermont"		143	1300000	0	3300	3700	7300	0	5300	3300	6	0	2	7	700	1700	10	2	150	14	3	0	150	255	150	150
510	1	"Kato"			144	1400000	0	3400	3800	7400	0	5400	3400	6	0	2	7	700	1700	10	2	150	14	3	0	150	255	150	150
511	1	"Galia"			141	1100000	0	3100	3500	7100	0	5100	3100	6	0	2	7	700	1700	10	2	150	14	3	0	150	255	150	150
512	1	"Quartermaster"		134	90000	0	600	700	500	0	1500	370	6	0	7	7	700	1700	10	2	150	14	3	0	23	23	23	23
513	1	"Combat Instructor"	118	68000	0	1168	1213	615	0	1190	485	3	0	5	7	500	1600	10	2	130	0	4	0	29	29	29	29
514	1	"Knight Commander"	135	300000	0	800	800	650	0	1500	370	6	0	6	10	700	1700	10	2	150	14	3	23	23	23	23	23
515	1	"Grand Wizard"		134	100000	0	600	700	500	0	1500	397	6	0	4	7	700	1700	10	2	150	14	3	0	25	25	25	25
516	1	"Master Assassin"	119	105000	0	850	885	710	0	1000	370	3	0	6	7	500	1600	10	2	130	0	4	0	29	29	29	29
517	1	"Cavalry Captain"	140	140000	0	1070	1105	892	0	1200	450	3	0	10	7	800	1700	10800	2	100	0	4	0	60	60	60	60
518	1	"Shield Bearer"		118	78000	0	1168	1213	1615	0	1190	4485	3	0	2	7	500	1600	10	2	130	0	4	0	29	29	29	29
519	1	"Medic"			115	70000	0	1408	1543	1430	0	2000	3700	3	0	1	7	800	1700	10	2	110	0	4	0	50	50	50	50
520	1	"Knights"		113	53000	0	1546	1581	1430	0	2000	3400	3	0	1	7	500	1500	10	2	135	0	3	0	25	25	25	25
521	1	"Bodyguard"		120	78500	0	1640	1675	1515	0	2000	3900	3	0	1	7	500	1600	10	2	135	0	4	0	26	26	26	26

//Imperial Guardian Fort Npc
//==========================================================================================================================================================================================================================================
//Numb	Rate	Name			Level	Life	Mana	Min	Max	Defense	Magic	Attack	Success	Move	Attrib	Attrib	View	Move	Attrib	Regen	Attri	Item	Money	Max	Res	Res	Res	Res	Res
//								Damage	Damage		Defense				Type	Range	Range	Speed	Speed	Time	Rate	Rate	Rate	Items	Wind	Poison	Ice	Water	Fire
//==========================================================================================================================================================================================================================================
522	1	"Jerint the Assistant"	2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
523	1	"Trap"			2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
524	1	"Evil Gate"		2	48500	0	15	30	1515	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
525	1	"Lion Gate"		2	68000	0	15	30	1615	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
526	1	"Statue"		2	87500	0	15	30	1865	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
527	1	"Star Gate"		2	87500	0	15	30	1865	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
528	1	"Rush Gate"		2	94000	0	15	30	1750	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0

//Double Goer Boss Monsters
//==================================================================================================================================================================================================================================================
//Numb	Rate	Name				Level	Life	Mana	Min	Max	Defense	Magic	Attack	Success	Move	Attrib	Attrib	View	Move	Attrib	Regen	Attri	Item	Money	Max	Res	Res	Res	Res	Res
//									Damage	Damage		Defense				Type	Range	Range	Speed	Speed	Time	Rate	Rate	Rate	Items	Wind	Poison	Ice	Water	Fire
//==================================================================================================================================================================================================================================================
529	1	"Furious Slaughterer"		140	87500	0	2830	1085	1865	0	2000	3000	3	0	4	7	500	1500	10	2	130	0	3	0	28	28	28	28
530	1	"Slaughterer"			145	87500	0	2830	3085	1945	0	2000	3000	3	0	4	7	500	1500	10	2	130	0	3	0	28	28	28	28
531	1	"Contaminated Ice Walker"	110	30000	0	3246	3281	1430	0	2000	3000	3	0	2	7	500	1500	10	2	135	0	3	0	25	25	25	25

//Double Goer Monsters
//==================================================================================================================================================================================================================================================
//Numb	Rate	Name				Level	Life	Mana	Min	Max	Defense	Magic	Attack	Success	Move	Attrib	Attrib	View	Move	Attrib	Regen	Attri	Item	Money	Max	Res	Res	Res	Res	Res
//									Damage	Damage		Defense				Type	Range	Range	Speed	Speed	Time	Rate	Rate	Rate	Items	Wind	Poison	Ice	Water	Fire
//==================================================================================================================================================================================================================================================
532	1	"Contaminated Larva"		110	30000	0	3246	3281	1430	0	2000	3000	3	0	2	7	500	1500	10	2	135	0	3	0	25	25	25	25
533	1	"Doppleganger"			110	30000	0	3246	3281	1430	0	2000	3000	3	0	2	7	500	1500	10	2	135	0	3	0	25	25	25	25
534	1	"Doppleganger Elf"		110	30000	0	3246	3281	1430	0	2000	3000	3	1	2	7	500	1500	10	2	135	0	3	0	25	25	25	25
535	1	"Doppleganger Knight"		110	30000	0	3246	3281	1430	0	2000	3000	3	1	2	7	500	1500	10	2	135	0	3	0	25	25	25	25
536	1	"Doppleganger Wizard"		110	30000	0	3246	3281	1430	0	2000	3000	3	1	2	7	500	1500	10	2	135	0	3	0	25	25	25	25
537	1	"Doppleganger Gladiator"	112	31000	0	3346	3381	1430	0	2000	3000	3	1	2	7	500	1500	10	2	135	0	3	0	25	25	25	25
538	1	"Doppleganger Lord"		113	33000	0	3446	3481	1430	0	2000	3000	3	1	2	7	500	1500	10	2	135	0	3	0	25	25	25	25
539	1	"Doppleganger Summoner"		114	43000	0	4546	4581	1510	0	2000	3000	3	150	2	7	500	1500	10	2	135	0	3	0	25	25	25	25

//Double Goer Npc
//==========================================================================================================================================================================================================================================
//Numb	Rate	Name			Level	Life	Mana	Min	Max	Defense	Magic	Attack	Success	Move	Attrib	Attrib	View	Move	Attrib	Regen	Attri	Item	Money	Max	Res	Res	Res	Res	Res
//								Damage	Damage		Defense				Type	Range	Range	Speed	Speed	Time	Rate	Rate	Rate	Items	Wind	Poison	Ice	Water	Fire
//==========================================================================================================================================================================================================================================
540	1	"Lugard"		2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
541	1	"Interim Reward Chest"	2	94000	0	15	30	70	1865	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
542	1	"Final Reward Chest"	2	120000	0	15	30	70	2165	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0

//Gens System
//==========================================================================================================================================================================================================================================
//Numb	Rate	Name			Level	Life	Mana	Min	Max	Defense	Magic	Attack	Success	Move	Attrib	Attrib	View	Move	Attrib	Regen	Attri	Item	Money	Max	Res	Res	Res	Res	Res
//								Damage	Damage		Defense				Type	Range	Range	Speed	Speed	Time	Rate	Rate	Rate	Items	Wind	Poison	Ice	Water	Fire
//==========================================================================================================================================================================================================================================
543	1	"Gens Duprian Steward"	2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
544	1	"Gens Vanert Steward"	2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0

//Loren Market
//==========================================================================================================================================================================================================================================
//Numb	Rate	Name			Level	Life	Mana	Min	Max	Defense	Magic	Attack	Success	Move	Attrib	Attrib	View	Move	Attrib	Regen	Attri	Item	Money	Max	Res	Res	Res	Res	Res
//								Damage	Damage		Defense				Type	Range	Range	Speed	Speed	Time	Rate	Rate	Rate	Items	Wind	Poison	Ice	Water	Fire
//==========================================================================================================================================================================================================================================
545	1	"Christine the Merchant"2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
546	1	"Jeweler Raul"		2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
547	1	"Market Julia"		2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0

//Skeleton Event
//==========================================================================================================================================================================================================================================
//Numb	Rate	Name			Level	Life	Mana	Min	Max	Defense	Magic	Attack	Success	Move	Attrib	Attrib	View	Move	Attrib	Regen	Attri	Item	Money	Max	Res	Res	Res	Res	Res
//								Damage	Damage		Defense				Type	Range	Range	Speed	Speed	Time	Rate	Rate	Rate	Items	Wind	Poison	Ice	Water	Fire
//==========================================================================================================================================================================================================================================
548	1	"Transformed Skeleton"	2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0

//Medusa Event 
//==========================================================================================================================================================================================================================================
//Numb	Rate	Name			Level	Life	Mana	Min	Max	Defense	Magic	Attack	Success	Move	Attrib	Attrib	View	Move	Attrib	Regen	Attri	Item	Money	Max	Res	Res	Res	Res	Res
//								Damage	Damage		Defense				Type	Range	Range	Speed	Speed	Time	Rate	Rate	Rate	Items	Wind	Poison	Ice	Water	Fire
//==========================================================================================================================================================================================================================================
549	1	"Bloody Forest Orc"	114	117000	0	675	710	420	0	1346	1300	3	150	15	10	800	2000	43200	2	100	0	4	0	254	254	254	0
550	1	"Bloody Death Rider"	115	88000	0	795	830	460	0	1674	1110	3	150	15	10	800	2000	43200	2	100	0	4	254	254	254	254	0
551	1	"Bloody Golem"		117	129700	0	715	750	470	0	1977	1120	3	150	15	10	800	2000	43200	2	100	0	4	0	254	0	254	254
552	1	"Bloody Witch Queen"	94	88700	0	835	870	480	0	1897	1161	3	150	15	10	800	2000	43200	2	100	0	4	254	0	0	0	254
553	1	"Berserker Warrior"	123	184370	0	915	990	543	0	1674	1619	3	150	15	10	800	2000	43200	2	100	0	4	0	254	0	254	0
554	1	"Kentauros Warrior"	126	198500	0	970	1005	570	0	1357	1964	3	150	15	10	800	2000	43200	2	100	0	4	0	0	254	0	0
555	1	"Gigantis Warrior"	128	203000	0	1046	1181	630	0	1654	1964	3	150	15	10	800	2000	43200	2	100	0	4	0	0	254	0	0
556	1	"Genocider Warrior"	129	218500	0	1240	1375	715	0	1957	1964	3	150	15	10	800	2000	43200	2	100	0	4	0	0	254	0	0
557	1	"Sapi-Unus Master"	131	218000	0	1441	2017	670	0	1697	1964	3	150	15	10	800	2000	43200	2	100	0	4	0	0	254	0	0
558	1	"Ice Napin"		135	230000	0	1585	2060	730	0	2000	3000	3	0	1	7	500	1500	10	2	135	0	3	0	23	23	23	23
559	1	"Shadow Master"		137	242000	0	1743	2092	700	0	1190	800	3	7	6	7	500	1500	10	2	140	10	3	0	150	30	30	30
560	1	"Sapi Queen"		131	218000	0	1441	2017	670	0	730	225	4	0	1	7	600	1500	20	2	140	10	3	0	0	30	0	0
561	1	"Medusa"		175	7800000	0	7000	8000	1450	0	10000	1800	3	0	10	8	800	1800	43200	2100	0	4	4	254	254	150	150	150
562	1	"Dark Mammoth"		140	237000	0	1740	2317	785	0	125	31	3	1	1	4	400	1800	10	2	200	14	6	0	2	0	0	0
563	1	"Dark Giant"		143	254000	0	1885	2360	820	0	1570	770	3	150	3	7	500	1500	20	2	150	10	3	0	150	30	30	30
564	1	"Dark Coolutin"		145	248000	0	2043	2392	850	0	1940	840	3	150	6	7	500	1500	20	2	140	10	3	0	150	30	30	30
565	1	"Dark Iron Knight"	148	265000	0	2217	2601	860	0	2000	800	3	150	6	7	500	1500	20	2	140	10	3	0	150	30	30	30
end

//New Quest Season 6
//==================================================================================================================================================================================================================================================
//Numb	Rate	Name				Level	Life	Mana	Min	Max	Defense	Magic	Attack	Success	Move	Attrib	Attrib	View	Move	Attrib	Regen	Attri	Item	Money	Max	Res	Res	Res	Res	Res
//									Damage	Damage		Defense				Type	Range	Range	Speed	Speed	Time	Rate	Rate	Rate	Items	Wind	Poison	Ice	Water	Fire
//==================================================================================================================================================================================================================================================
566	1	"Mercenary Guild Felicia"	2	10	0	10	10	10	1	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
567	1	"Sinnyeo Bay"			2	10	0	10	10	10	1	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
568	1	"Rogue Trader Gyro"		2	10	0	10	10	10	1	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

//Karutan Monsters
//==========================================================================================================================================================================================================================================
//Numb	Rate	Name			Level	Life	Mana	Min	Max	Defense	Magic	Attack	Success	Move	Attrib	Attrib	View	Move	Attrib	Regen	Attri	Item	Money	Max	Res	Res	Res	Res	Res
//								Damage	Damage		Defense				Type	Range	Range	Speed	Speed	Time	Rate	Rate	Rate	Items	Wind	Poison	Ice	Water	Fire
//==========================================================================================================================================================================================================================================
569	1	"Poison Scorpion"	99	5000	0	555	590	45	0	600	248	3	150	2	5	800	2500	10	2	155	0	3	0	21	21	21	21
570	1	"Scorpion"		103	60000	0	595	635	485	0	645	283	3	150	2	7	800	2500	10	2	155	0	3	0	22	22	22	22
571	1	"Rise Curse"		105	65000	0	615	655	518	0	665	293	3	150	1	7	800	2500	10	2	135	0	3	0	23	23	23	23
572	1	"Golrok"		108	72000	0	685	735	545	0	695	315	3	150	4	5	800	2500	10	2	135	0	3	0	24	24	24	24
573	1	"Big Ripta"		111	78000	0	705	755	560	0	765	340	3	150	2	7	800	2500	10	2	135	0	3	0	25	25	25	25
574	1	"Creep Force"		114	83000	0	720	770	575	0	780	375	3	150	2	5	800	2500	10	2	135	0	3	0	25	25	25	25
575	1	"Kondeura"		117	90000	0	735	790	610	0	745	405	3	150	1	7	800	2700	10	2	110	0	4	0	50	50	50	50
576	1	"Kondeura Drama"	120	96000	0	750	815	640	0	825	425	3	150	2	7	800	2600	10	2	135	0	4	0	26	26	26	26

//Karutan Npcs
//==========================================================================================================================================================================================================================================
//Numb	Rate	Name			Level	Life	Mana	Min	Max	Defense	Magic	Attack	Success	Move	Attrib	Attrib	View	Move	Attrib	Regen	Attri	Item	Money	Max	Res	Res	Res	Res	Res
//								Damage	Damage		Defense				Type	Range	Range	Speed	Speed	Time	Rate	Rate	Rate	Items	Wind	Poison	Ice	Water	Fire
//==========================================================================================================================================================================================================================================
577	1	"Reina Haberdasher"	2	10	0	10	10	10	1	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
578	1	"Porter Mercenary"	2	10	0	10	10	10	1	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

//Lucky Coin
//==========================================================================================================================================================================================================================================
//Numb	Rate	Name			Level	Life	Mana	Min	Max	Defense	Magic	Attack	Success	Move	Attrib	Attrib	View	Move	Attrib	Regen	Attri	Item	Money	Max	Res	Res	Res	Res	Res
//								Damage	Damage		Defense				Type	Range	Range	Speed	Speed	Time	Rate	Rate	Rate	Items	Wind	Poison	Ice	Water	Fire
//==========================================================================================================================================================================================================================================
579	1	"David"			2	10	0	10	10	10	1	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
end
